Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien	Summe	Timestamp
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24	2020-03-20 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	40	2020-03-22 00:00:00
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	60	2020-03-24 00:00:00
2	9	21	5	6	19	15	7	12	96	2020-03-26 07:00:00
2	7	21	8	5	19	26	10	12	110	2020-03-27 08:00:00
4	8	18	10	10	23	38	10	14	135	2020-03-28 08:00:00
4	8	26	22	12	24	42	13	35	186	2020-03-29 08:00:00
4	10	26	23	13	19	50	13	35	193	2020-03-30 09:30:00
3	12	32	27	9	24	57	12	22	198	2020-03-31 09:30:00
3	11	36	29	10	27	57	12	30	215	2020-04-01 09:30:00
3	11	43	31	13	28	56	12	30	227	2020-04-02 09:30:00
4	11	43	33	14	30	55	12	43	245	2020-04-03 09:30:00
3	11	39	33	15	34	54	12	44	245	2020-04-04 09:30:00
6	13	43	32	14	28	54	12	42	244	2020-04-05 09:30:00
6	12	43	29	18	30	59	11	42	250	2020-04-06 09:30:00
4	12	48	31	16	29	59	11	33	243	2020-04-07 09:30:00
2	12	55	33	21	33	65	11	35	267	2020-04-08 09:30:00
4	13	54	29	19	31	65	11	40	266	2020-04-09 10:30:00
4	12	53	28	19	32	61	11	41	261	2020-04-10 10:00:00
3	10	42	29	18	33	63	11	37	246	2020-04-11 09:30:00
3	10	42	29	21	32	61	10	35	243	2020-04-12 09:30:00
3	10	42	32	20	31	57	10	34	239	2020-04-13 09:30:00
4	8	43	30	20	28	56	10	44	243	2020-04-14 09:30:00
4	10	42	30	19	24	55	10	38	232	2020-04-15 09:30:00
4	10	46	31	15	21	54	11	46	238	2020-04-16 09:30:00
5	8	40	30	19	22	54	10	39	227	2020-04-17 09:30:00
5	9	41	25	17	20	51	8	32	208	2020-04-18 09:30:00
5	9	40	29	16	18	49	7	31	204	2020-04-19 09:30:00
4	9	37	27	17	17	44	7	32	194	2020-04-20 09:30:00
4	9	42	30	15	17	44	6	29	196	2020-04-21 09:30:00
2	7	43	20	13	14	40	7	30	176	2020-04-22 09:30:00
4	7	43	18	14	16	38	6	23	169	2020-04-23 09:30:00
2	7	40	15	12	13	36	6	25	156	2020-04-24 09:30:00
2	7	37	15	12	12	34	6	23	148	2020-04-25 09:30:00
2	6	39	14	11	12	32	6	23	145	2020-04-26 09:30:00
2	6	37	11	11	12	33	5	23	140	2020-04-27 09:30:00
3	6	35	14	10	10	32	5	21	136	2020-04-28 09:30:00
2	5	36	12	10	12	28	5	21	131	2020-04-29 09:30:00
2	5	36	12	9	10	28	5	21	128	2020-04-30 09:30:00
2	5	37	10	7	10	27	4	22	124	2020-05-01 09:30:00
2	4	35	8	7	9	24	4	21	114	2020-05-02 09:30:00
1	3	34	9	7	9	25	4	22	114	2020-05-03 09:30:00
1	3	35	8	7	9	25	4	19	111	2020-05-04 09:30:00
1	2	33	7	7	9	21	4	20	104	2020-05-05 09:30:00
1	3	29	6	7	8	19	4	20	97	2020-05-06 09:30:00
1	3	28	7	7	7	17	3	19	92	2020-05-07 09:30:00
0	2	28	4	7	6	14	2	18	81	2020-05-08 09:30:00
0	2	25	5	3	6	18	1	19	79	2020-05-09 09:30:00
0	0	24	6	2	5	15	1	19	72	2020-05-10 09:30:00
0	0	23	4	3	4	13	1	20	68	2020-05-11 09:30:00
0	0	21	3	2	4	12	1	16	59	2020-05-12 09:30:00
0	0	21	2	2	5	9	0	16	55	2020-05-13 09:30:00
0	0	20	1	2	4	9	0	18	54	2020-05-14 09:30:00
0	0	18	1	2	4	8	0	14	47	2020-05-15 09:30:00
0	0	17	1	2	4	9	0	17	50	2020-05-16 09:30:00
0	0	15	4	1	4	7	0	17	48	2020-05-17 09:30:00
0	0	15	2	1	4	6	0	17	45	2020-05-18 09:30:00
0	0	14	1	1	4	5	0	14	39	2020-05-19 09:30:00
0	0	14	0	1	2	6	0	14	37	2020-05-20 09:30:00
0	0	13	0	0	2	4	0	13	32	2020-05-21 09:00:00
0	0	12	0	0	2	3	0	14	31	2020-05-22 09:00:00
0	0	11	0	0	2	3	0	12	28	2020-05-23 09:30:00
0	0	11	0	0	1	4	0	13	29	2020-05-24 09:30:00
0	0	11	1	0	1	4	0	14	31	2020-05-25 09:30:00
0	0	13	1	0	1	4	0	13	32	2020-05-26 09:30:00
0	0	13	0	0	1	4	0	14	32	2020-05-27 09:30:00
0	0	13	0	0	1	4	0	12	30	2020-05-28 09:30:00
0	0	11	0	0	1	3	0	10	25	2020-05-29 09:30:00
0	0	10	0	0	0	3	0	10	23	2020-05-30 09:30:00
0	0	10	0	0	0	3	0	14	27	2020-05-31 09:30:00
0	0	10	0	0	2	3	0	14	29	2020-06-01 09:30:00
0	0	9	0	0	2	3	0	12	26	2020-06-02 09:30:00
0	0	6	0	0	2	2	0	11	21	2020-06-03 09:30:00
0	0	6	0	0	1	2	0	13	22	2020-06-04 09:30:00
0	0	6	0	0	1	2	0	11	20	2020-06-05 09:30:00
0	0	5	0	0	1	1	0	10	17	2020-06-06 09:00:00
0	0	5	0	0	1	1	0	10	17	2020-06-07 09:30:00
0	0	6	0	0	1	1	0	9	17	2020-06-08 09:30:00
0	0	5	1	0	1	2	0	10	19	2020-06-09 09:30:00
0	0	4	1	1	1	1	0	9	17	2020-06-10 09:30:00
0	0	2	1	0	1	1	0	8	13	2020-06-11 09:00:00
0	0	0	1	0	1	1	0	6	9	2020-06-12 09:30:00
0	0	2	1	0	1	1	0	6	11	2020-06-13 09:30:00
0	0	2	1	0	1	1	0	7	12	2020-06-14 09:30:00
0	0	2	2	0	2	1	0	8	15	2020-06-15 09:30:00
0	0	1	1	0	2	2	0	6	12	2020-06-16 09:30:00
0	0	1	1	0	3	1	0	5	11	2020-06-17 09:30:00
0	0	1	0	0	1	1	0	5	8	2020-06-18 09:30:00
0	0	1	0	0	1	0	0	5	7	2020-06-19 09:30:00
0	0	2	0	0	1	0	0	5	8	2020-06-20 09:30:00
0	0	2	0	0	1	0	0	5	8	2020-06-21 09:30:00
0	0	3	0	0	1	0	0	6	10	2020-06-22 09:30:00
0	0	4	0	0	1	0	0	6	11	2020-06-23 09:30:00
0	0	4	0	0	1	0	0	6	11	2020-06-24 09:30:00
0	0	3	1	0	1	0	0	6	11	2020-06-25 09:30:00
0	0	3	0	0	1	0	0	6	10	2020-06-26 09:30:00
0	0	2	0	0	1	1	0	6	10	2020-06-27 09:30:00
