Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien	Summe	Timestamp
0	0	0	0	0	0	2	0	0	2	2020-02-26 00:00:00
0	0	0	0	0	0	2	0	0	2	2020-02-27 00:00:00
0	0	0	0	0	0	2	0	2	4	2020-02-28 00:00:00
0	0	0	0	0	0	2	0	3	5	2020-02-29 00:00:00
0	0	2	0	1	1	2	0	4	10	2020-03-01 00:00:00
0	0	2	0	1	1	2	0	4	10	2020-03-02 00:00:00
0	0	2	0	2	3	2	0	9	18	2020-03-03 08:00:00
0	0	5	0	2	3	2	0	15	27	2020-03-04 09:00:00
0	0	5	0	3	4	2	0	15	29	2020-03-04 18:00:00
0	1	12	0	4	4	3	1	16	41	2020-03-05 15:00:00
0	1	15	1	4	4	4	1	17	47	2020-03-06 08:00:00
0	1	15	1	5	5	4	1	23	55	2020-03-06 15:00:00
4	1	23	4	5	6	7	1	23	74	2020-03-07 08:00:00
4	1	23	4	5	6	7	1	28	79	2020-03-07 15:00:00
4	1	31	7	7	8	8	1	32	99	2020-03-08 11:45:00
4	1	36	9	8	10	9	2	33	112	2020-03-09 08:00:00
4	1	36	11	9	16	16	3	35	131	2020-03-09 15:00:00
4	1	39	13	10	17	27	3	43	157	2020-03-10 08:00:00
4	1	40	22	12	17	32	11	43	182	2020-03-10 15:00:00
4	1	45	28	11	18	37	12	50	206	2020-03-11 08:00:00
4	3	45	35	14	25	57	13	50	246	2020-03-11 15:00:00
4	3	51	50	13	27	81	15	58	302	2020-03-12 08:00:00
6	3	51	58	19	33	109	16	66	361	2020-03-12 15:00:00
6	4	63	68	20	44	132	17	74	428	2020-03-13 08:00:00
7	4	63	84	23	52	167	22	82	504	2020-03-13 15:00:00
9	4	82	101	28	61	206	26	85	602	2020-03-14 08:00:00
10	5	82	116	30	71	206	34	101	655	2020-03-14 15:00:00
10	6	112	158	39	83	245	39	108	800	2020-03-15 08:00:00
10	6	111	159	39	111	254	48	122	860	2020-03-15 15:00:00
10	7	150	196	54	111	254	55	122	959	2020-03-16 08:00:00
10	18	152	202	58	139	254	55	128	1016	2020-03-16 15:00:00
11	18	165	231	66	145	275	91	130	1132	2020-03-17 08:00:00
11	27	216	248	66	171	328	99	166	1332	2020-03-17 15:00:00
13	29	237	285	80	188	352	107	180	1471	2020-03-18 08:00:00
20	41	256	305	89	220	382	124	209	1646	2020-03-18 15:00:00
21	45	283	345	110	233	437	138	231	1843	2020-03-19 08:00:00
29	50	305	371	127	282	464	151	234	2013	2020-03-19 14:30:00
32	63	317	399	147	299	490	179	277	2203	2020-03-20 08:00:00
33	71	355	421	167	340	508	197	296	2388	2020-03-20 15:00:00
35	74	390	507	175	350	568	215	350	2664	2020-03-21 08:00:00
54	83	394	548	185	388	575	228	359	2814	2020-03-21 15:00:00
54	98	422	606	209	393	626	249	369	3026	2020-03-22 08:00:00
63	105	446	628	269	423	644	263	403	3244	2020-03-22 15:00:00
64	113	512	696	358	447	676	294	451	3611	2020-03-23 08:00:00
71	122	564	707	372	486	803	323	476	3924	2020-03-23 15:00:00
85	135	610	764	405	504	1067	354	562	4486	2020-03-24 08:00:00
84	141	620	795	429	558	1253	379	617	4876	2020-03-24 15:00:00
88	145	691	860	493	585	1338	404	678	5282	2020-03-25 08:00:00
89	161	750	915	516	627	1393	407	702	5560	2020-03-25 15:00:00
89	168	799	1024	558	633	1460	422	735	5888	2020-03-26 08:00:00
115	183	873	1054	591	699	1623	435	825	6398	2020-03-26 15:00:00
117	189	992	1162	680	742	1689	473	918	6962	2020-03-27 08:00:00
138	202	1140	1217	687	759	1752	501	1003	7399	2020-03-27 15:00:00
140	204	1163	1285	728	812	1801	535	1029	7697	2020-03-28 08:00:00
142	221	1262	1332	751	828	1846	549	1046	7995	2020-03-28 15:00:00
153	223	1276	1402	793	873	1907	577	1087	8291	2020-03-29 08:00:00
159	239	1350	1451	798	915	1944	579	1101	8536	2020-03-29 15:00:00
171	246	1386	1509	849	929	2001	606	1116	8813	2020-03-30 08:00:00
179	261	1533	1535	855	958	2205	616	1235	9377	2020-03-30 15:00:00
181	267	1551	1563	909	1000	2234	626	1303	9634	2020-03-31 08:00:00
182	273	1616	1596	911	1049	2323	646	1378	9974	2020-03-31 15:00:00
185	278	1637	1642	949	1063	2361	659	1418	10192	2020-04-01 08:00:00
188	293	1685	1671	955	1113	2414	666	1497	10482	2020-04-01 15:00:00
198	295	1717	1739	993	1137	2462	680	1548	10769	2020-04-02 08:00:00
201	300	1738	1781	994	1158	2531	681	1583	10967	2020-04-02 15:00:00
203	300	1775	1806	1033	1169	2568	697	1620	11171	2020-04-03 08:00:00
206	304	1828	1836	1038	1205	2595	710	1661	11383	2020-04-03 15:00:00
210	307	1831	1868	1057	1226	2633	715	1678	11525	2020-04-04 08:00:00
224	310	1860	1890	1059	1263	2658	722	1679	11665	2020-04-04 15:00:00
224	310	1863	1916	1068	1285	2690	722	1689	11767	2020-04-05 08:00:00
226	319	1903	1932	1069	1311	2704	742	1701	11907	2020-04-05 15:00:00
228	319	1927	1953	1079	1312	2739	746	1705	12008	2020-04-06 08:00:00
228	328	1994	1963	1083	1339	2774	754	1743	12206	2020-04-06 15:00:00
232	329	2043	1974	1085	1352	2786	760	1771	12332	2020-04-07 08:00:00
234	341	2071	1991	1094	1372	2835	768	1813	12519	2020-04-07 15:00:00
242	341	2103	2008	1120	1396	2857	784	1824	12675	2020-04-08 08:00:00
242	353	2122	2037	1119	1423	2903	793	1860	12852	2020-04-08 15:00:00
243	361	2151	2048	1129	1434	2931	794	1878	12969	2020-04-09 08:00:00
245	365	2169	2079	1134	1458	2996	800	1892	13138	2020-04-09 15:00:00
246	366	2192	2085	1143	1468	3045	801	1925	13271	2020-04-10 08:00:00
253	373	2206	2100	1152	1484	3163	809	1952	13492	2020-04-10 15:00:00
255	373	2213	2109	1154	1499	3176	819	1963	13561	2020-04-11 08:00:00
259	382	2274	2115	1154	1515	3257	825	1995	13776	2020-04-11 15:00:00
260	382	2284	2118	1181	1524	3324	843	2029	13945	2020-04-12 09:30:00
266	385	2324	2122	1169	1553	3281	831	2011	13942	2020-04-13 08:00:00
268	386	2343	2127	1169	1560	3299	832	2015	13999	2020-04-13 15:00:00
270	386	2354	2134	1174	1578	3302	832	2030	14060	2020-04-14 08:00:00
271	386	2387	2140	1174	1588	3328	832	2053	14159	2020-04-14 15:00:00
274	388	2398	2150	1176	1593	3337	846	2084	14246	2020-04-15 08:00:00
278	388	2415	2162	1178	1600	3352	847	2101	14321	2020-04-15 15:00:00
280	388	2427	2171	1182	1604	3362	851	2105	14370	2020-04-16 08:00:00
286	389	2436	2174	1186	1617	3392	852	2119	14451	2020-04-16 15:00:00
286	384	2446	2175	1189	1624	3394	853	2133	14484	2020-04-17 08:00:00
289	394	2461	2183	1190	1631	3406	854	2145	14553	2020-04-17 15:00:00
