Datum	Uhrzeit	Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien	Österreich
2020-04-16	17:00:00	286	384	2437	2173	1187	1617	3392	852	2125	14453
2020-04-16	18:00:00	286	384	2437	2174	1189	1621	3393	852	2126	14462
2020-04-16	19:00:00	286	384	2439	2174	1189	1622	3393	853	2134	14474
2020-04-16	20:00:00	286	384	2439	2174	1189	1622	3393	853	2133	14473
2020-04-16	21:00:00	286	384	2439	2174	1189	1624	3393	853	2133	14475
2020-04-16	22:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-16	23:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	00:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	01:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	02:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	03:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	04:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	05:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	06:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	07:00:00	286	384	2439	2175	1189	1624	3393	853	2133	14476
2020-04-17	08:00:00	286	384	2446	2175	1189	1624	3394	853	2133	14484
2020-04-17	09:00:00	286	385	2453	2177	1189	1623	3395	853	2138	14499
2020-04-17	10:00:00	286	385	2456	2177	1187	1624	3399	853	2141	14508
2020-04-17	11:00:00	286	385	2456	2177	1188	1624	3399	854	2141	14510
2020-04-17	12:00:00	286	394	2458	2177	1188	1624	3403	854	2143	14527
2020-04-17	13:00:00	286	394	2458	2180	1188	1624	3403	854	2143	14530
2020-04-17	14:00:00	289	394	2459	2181	1188	1628	3403	854	2144	14540
2020-04-17	15:00:00	289	394	2461	2183	1190	1631	3406	854	2145	14553
2020-04-17	16:00:00	289	395	2461	2184	1190	1633	3406	855	2149	14562
2020-04-17	17:00:00	289	395	2461	2185	1190	1635	3408	855	2150	14568
2020-04-17	18:00:00	290	395	2461	2186	1190	1635	3408	855	2150	14570
2020-04-17	19:00:00	290	395	2461	2186	1190	1637	3407	855	2158	14579
2020-04-17	20:00:00	295	395	2461	2186	1191	1638	3407	855	2158	14586
2020-04-17	21:00:00	295	395	2461	2186	1191	1638	3407	855	2158	14586
2020-04-17	22:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-17	23:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	00:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	01:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	02:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	03:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	03:59:59	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	05:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	06:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	07:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	08:00:00	295	395	2461	2194	1191	1638	3407	855	2159	14595
2020-04-18	09:00:00	297	395	2462	2194	1191	1642	3408	855	2159	14603
2020-04-18	10:00:00	297	395	2462	2194	1191	1642	3412	855	2160	14608
2020-04-18	11:00:00	297	395	2465	2197	1191	1643	3413	855	2163	14619
2020-04-18	12:00:00	297	394	2469	2198	1191	1643	3413	855	2163	14623
2020-04-18	13:00:00	297	394	2469	2199	1191	1645	3413	855	2166	14629
2020-04-18	14:00:00	297	394	2469	2199	1191	1645	3413	855	2169	14632
2020-04-18	15:00:00	298	394	2469	2199	1191	1646	3415	855	2170	14637
2020-04-18	16:00:00	300	394	2469	2199	1191	1646	3418	855	2176	14648
2020-04-18	17:00:00	300	394	2469	2199	1194	1646	3418	856	2177	14653
2020-04-18	18:00:00	299	394	2469	2199	1194	1646	3418	856	2182	14657
2020-04-18	19:00:00	299	394	2470	2199	1195	1646	3418	856	2184	14661
2020-04-18	20:00:00	299	394	2470	2199	1195	1646	3418	856	2184	14661
2020-04-18	21:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-18	22:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-18	23:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	00:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	01:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	02:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	03:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	04:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	05:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	06:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	07:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	08:00:00	299	394	2470	2199	1195	1646	3418	857	2184	14662
2020-04-19	09:00:00	299	394	2470	2199	1195	1646	3417	857	2184	14661
2020-04-19	10:00:00	299	394	2475	2199	1195	1646	3417	857	2188	14670
2020-04-19	11:00:00	299	394	2476	2199	1199	1646	3417	857	2188	14675
2020-04-19	12:00:00	299	394	2476	2199	1199	1648	3417	857	2192	14681
2020-04-19	13:00:00	299	394	2476	2200	1199	1649	3417	857	2193	14684
2020-04-19	14:00:00	301	394	2476	2200	1199	1651	3417	858	2193	14689
2020-04-19	15:00:00	302	394	2476	2200	1199	1652	3417	858	2198	14696
2020-04-19	16:00:00	302	394	2476	2200	1199	1652	3417	858	2198	14696
2020-04-19	17:00:00	302	394	2477	2200	1200	1653	3417	858	2198	14699
2020-04-19	18:00:00	302	394	2477	2201	1200	1653	3417	858	2198	14700
2020-04-19	19:00:00	302	394	2477	2203	1200	1653	3417	858	2199	14703
2020-04-19	20:00:00	302	394	2477	2203	1200	1653	3417	858	2199	14703
